Step TotalEnergy PotentialEnergy KineticEnergy Temperature
3060 -27167.239950853923801 -27462.698287614577566 295.4583367606527986 298.25521310626101013
3070 -27168.005058468126663 -27471.912450926385645 303.90739245825824355 306.7842495019318676
3080 -27171.555683550632239 -27459.169790158619435 287.61410660798645722 290.33672767278574156
3090 -27163.483331809547963 -27459.190027239892515 295.70669543034370008 298.50592279605206159
3100 -27175.142911461800395 -27461.990094423581468 286.84718296178238006 289.56254415153983928
3110 -27173.354409152183507 -27476.534066235784849 303.17965708359963628 306.04962521739321346
3120 -27176.786053848132724 -27471.062389533108217 294.27633568497572014 297.06202293744382814
3130 -27176.927211308291589 -27466.102398033977806 289.17518672568542115 291.91258533273537523
3140 -27176.940628894077236 -27477.597953887583571 300.65732499350457374 303.50341615352277813
3150 -27175.199826913751167 -27480.384230800056685 305.18440388630415327 308.0733494128932648
3160 -27178.699583575675206 -27483.211213197198958 304.51162962152380942 307.39420651269813334
3170 -27191.304890640272788 -27470.626678460896073 279.321787820623058 281.96591189487912743
3180 -27187.544607950690988 -27477.663865695190907 290.11925774449940718 292.86559314422896705
3190 -27189.227009037087555 -27467.304490081674885 278.07748104458676153 280.7098262256603789
3200 -27182.73508880733425 -27479.189693056774558 296.45460424944025135 299.2609114914781685
3210 -27184.920051576933474 -27481.682202159521694 296.76215058258799218 299.57136912871635559
3220 -27189.671136727600242 -27471.015967609921063 281.34483088232121872 284.00810554595460644
3230 -27178.156032613529533 -27473.367028950247914 295.21099633671911988 298.00553130117492628
3240 -27172.071822565620096 -27467.185317975650833 295.11349541003141894 297.90710740836442483
3250 -27167.19498990340071 -27465.711029087386123 298.51603918398376436 301.34186044166818874
3260 -27166.951957206285442 -27466.231570777163142 299.2796135708782117 302.11266299874807828
3270 -27159.50659316911333 -27464.408034720552678 304.90144155143849503 307.78770849170047086
3280 -27154.472039426091214 -27469.672457114895224 315.20041768880224708 318.18417709808164773
3290 -27174.227806032155058 -27471.911019775274326 297.68321374311869931 300.50115128426591582
3300 -27170.451034268200601 -27473.614466761537187 303.16343249333596077 306.03324704143886947
3310 -27165.430235796506167 -27462.987849662269582 297.55761386576210725 300.37436244967818766
3320 -27161.437076778747723 -27468.211158967707888 306.77408218895902792 309.67807597477337822
3330 -27167.100924201462476 -27470.510670190615201 303.40974598915141769 306.28189219726976944
3340 -27164.323833496557199 -27480.148890584394394 315.825057087835944 318.814729476856769
3350 -27165.569046702257765 -27471.408547589766385 305.83950088750754048 308.73464771248217176
3360 -27175.153652610726567 -27475.127378078439506 299.97372546771322277 302.81334551791434251
3370 -27179.675427856302122 -27472.9823626626021 293.30693480629992109 296.08344548782838501
3380 -27192.126907128782477 -27478.646810646179802 286.51990351739806329 289.23216660491056018
3390 -27191.112215374367224 -27467.331349417596357 276.21913404322907581 278.83388768558688753
3400 -27180.307298132160213 -27470.780404063880269 290.47310593172034032 293.22279093950504603
3410 -27183.855713590080995 -27471.761357057759597 287.90564346767723691 290.63102428722123705
3420 -27186.595480571289954 -27477.659435380701325 291.06395480941250753 293.81923292811757165
3430 -27181.604721004889143 -27469.255946861485427 287.65122585659588594 290.37419830071161186
3440 -27177.592509687856364 -27485.720407779648667 308.12789809179378153 311.04470740928832129
3450 -27182.986256349213363 -27486.522705669951392 303.53644932073655127 306.40979493163666803
3460 -27175.239637897859211 -27474.166574746690458 298.92693684883101923 301.75664775800362349
3470 -27178.411808462187764 -27472.446218443226826 294.03440998103764059 296.81780710933406908
3480 -27170.370960031799768 -27460.547325071493105 290.17636503969447404 292.92324103017142534
3490 -27161.94346914110065 -27457.920440010631864 295.97697086953286316 298.77875672450562661
3500 -27164.032222613426711 -27461.359590391752135 297.32736777832445796 300.14193679999607411
3510 -27167.028349977103062 -27471.405312301547383 304.37696232444369571 307.25826442411317885
